Den;Datum;Zaèátek;ZS;Soutìž;ÈU;Domácí;Hosté;Stav
So;11.10.2025;10:25;KT;"LMŽ B";K5021;"HC Klatovy ";"HC Rokycany z.s. ";2:10
So;11.10.2025;17:30;OS;"KLM KPK";P0253;"HC Èerti Ostrov ";"HC Klatovy ";5:13
Ne;12.10.2025;10:10;KT;"LSŽ B";P7009;"HC Klatovy ";"HC Pilsen Wolves B";1:15
Ne;12.10.2025;12:25;KT;RLSD;P3038;"HC Klatovy ";"HC Pøíbram B";1:7
Ne;12.10.2025;12:30;DO;RLJ;C1042;"HC Domažlice ";"HC Klatovy ";6:4
Ne;12.10.2025;12:35;ML;"LMŽ B";K5018;"HC Mariánské Láznì ";"HC Klatovy B";5:5
Ne;12.10.2025;14:00;TC;"S2T PLK";PM2008;"HC Meteor Tøemošná B";"HC Klatovy ";0:0
Ne;12.10.2025;15:15;TC;"S2T PLK";PM2009;"HC Tachov ";"HC Klatovy ";0:0
Út;14.10.2025;18:25;KT;RLSD;P3017;"HC Klatovy ";"HC Domažlice ";0:3
Pá;17.10.2025;18:10;KT;RLJ;C1051;"HC Klatovy ";"HC Berounští Medvìdi ";5:7
So;18.10.2025;10:15;KT;"S3T PLK";PM3001;"HC Klatovy ";"HC ŠKODA PLZEÒ ";0:0
So;18.10.2025;12:00;DO;"LMŽ B";K5023;"HC Domažlice ";"HC Klatovy ";2:18
So;18.10.2025;12:45;KT;"S3T PLK";PM3003;"HC Klatovy ";"TJ Sušice ";0:0
So;18.10.2025;13:15;RO;RLSD;P3044;"HC Rokycany z.s. ";"HC Klatovy ";10:1
So;18.10.2025;16:00;MI;RLJ;C1058;"HC Milevsko 1934 ";"HC Klatovy ";8:1
So;18.10.2025;18:30;KT;"KLM KPK";P0255;"HC Klatovy ";"HC Rokycany z.s. ";4:3
Ne;19.10.2025;10:40;KT;"LMŽ B";K5025;"HC Klatovy B";"HC ŠKODA PLZEÒ B";4:7
Ne;19.10.2025;12:55;KT;RLSD;P3054;"HC Klatovy ";"SK Èernošice ";1:10
Ne;19.10.2025;15:00;PT;"LSŽ B";P7011;"HC ŠKODA PLZEÒ B";"HC Klatovy ";23:0
So;25.10.2025;10:25;KT;"LMŽ B";K5034;"HC Klatovy ";"HC Pilsen Wolves B";7:4
So;25.10.2025;12:15;TM;"LMŽ B";K5033;"HC Meteor Tøemošná B";"HC Klatovy B";13:5
So;25.10.2025;14:40;PK;RLJ;C1067;"HC Pilsen Wolves ";"HC Klatovy ";10:2
So;25.10.2025;17:30;PK;"KLM KPK";P0262;"HC Apollo ";"HC Klatovy ";3:7
Ne;26.10.2025;10:10;KT;"LSŽ B";P7014;"HC Klatovy ";"HC Meteor Tøemošná ";3:12
Ne;26.10.2025;12:15;KT;"S2T PLK";PM2010;"HC Klatovy ";"HC Domažlice ";0:0
Ne;26.10.2025;14:45;KT;"S2T PLK";PM2012;"HC Klatovy ";"HC Pilsen Wolves ";0:0
Ne;26.10.2025;17:00;PK;"KSM PLK";P0119;"HC S.O.S. Žízeò Chotìšov o.s. ";"HC Klatovy";1:1
Út;28.10.2025;15:30;KT;"LMŽ B";K5038;"HC Klatovy B";"HC Klatovy ";4:7
Pá;31.10.2025;17:00;HC;RLJ;C1074;"HC Spartak Žebrák ";"HC Klatovy ";4:5
So;01.11.2025;10:25;KT;"LMŽ B";K5047;"HC Klatovy ";"HC Rokycany z.s. B";11:1
So;01.11.2025;12:00;RO;"LMŽ B";K5048;"HC Rokycany z.s. ";"HC Klatovy B";19:2
So;01.11.2025;12:40;KT;RLSD;P3058;"HC Klatovy ";"HC Berounští Medvìdi ";2:7
So;01.11.2025;17:30;KT;"KSM PLK";P0125;"HC Klatovy";"HC Radobyèice ";6:2
Ne;02.11.2025;09:10;KT;"LSŽ B";P7018;"HC Klatovy ";"HC Domažlice ";9:3
Ne;02.11.2025;11:25;KT;RLSD;P3066;"HC Klatovy ";"HC Spartak Žebrák ";4:1
Ne;02.11.2025;12:15;TM;"S4T PLK";PM4017;"HC Tachov ";"HC Klatovy ";0:0
Ne;02.11.2025;13:00;KB;"S3T PLK";PM3011;"HC Baník Sokolov ";"HC Klatovy ";0:0
Ne;02.11.2025;13:15;TM;"S4T PLK";PM4018;"HC Meteor Tøemošná ";"HC Klatovy ";0:0
Ne;02.11.2025;14:10;KT;RLJ;C1082;"HC Klatovy ";"Slavoj Èeský Krumlov ";4:2
Ne;02.11.2025;14:15;KB;"S3T PLK";PM3012;"HC Pilsen Wolves ";"HC Klatovy ";0:0
So;08.11.2025;10:25;KT;"LMŽ B";K5051;"HC Klatovy B";"HC Domažlice ";22:3
So;08.11.2025;11:00;KY;"LMŽ B";K5053;"HC Energie Karlovy Vary B";"HC Klatovy ";2:13
So;08.11.2025;14:00;DO;"S4T PLK";PM4001;"HC Domažlice ";"HC Klatovy ";0:0
So;08.11.2025;14:15;RD;RLSD;P3076;"HC Smíchov 1913 ";"HC Klatovy ";4:1
So;08.11.2025;15:00;DO;"S4T PLK";PM4002;"HC Klatovy ";"HC Pilsen Wolves ";0:0
So;08.11.2025;17:30;KT;"KLM KPK";P0270;"HC Klatovy ";"HC Rebel Mìsto Nejdek ";6:9
So;08.11.2025;18:30;TM;"KSM PLK";P0128;"HCK Meteor z.s. ";"HC Klatovy";3:4
Ne;09.11.2025;09:10;KT;"LSŽ B";P7019;"HC Klatovy ";"HC Rokycany z.s. ";4:9
Ne;09.11.2025;11:25;KT;RLSD;P3078;"HC Klatovy ";"HC Meteor Tøemošná ";0:13
Ne;09.11.2025;14:10;KT;RLJ;C1092;"HC Klatovy ";"HC Pøíbram ";1:6
Út;11.11.2025;20:15;KT;"KSM PLK";P0118;"HC Klatovy";"HC Omega Trans Plzeò o.s. ";5:2
Èt;13.11.2025;17:00;DO;"LSŽ B";P7003;"HC Domažlice ";"HC Klatovy ";6:10
So;15.11.2025;10:15;KT;"S4T PLK";PM4019;"HC Klatovy ";"HC ŠKODA PLZEÒ ";0:0
So;15.11.2025;12:30;DO;RLSD;P3087;"HC Domažlice ";"HC Klatovy ";4:3sn
So;15.11.2025;12:45;KT;"S4T PLK";PM4021;"HC Klatovy ";"HC Domažlice ";0:0
So;15.11.2025;17:30;DO;"KLM KPK";P0271;"HC Domažlice ";"HC Klatovy ";6:4
So;15.11.2025;18:00;KT;"KSM PLK";P0132;"HC Klatovy";"Jiskra Bezdružice ";7:4
Ne;16.11.2025;10:20;PK;"LSŽ B";P7024;"HC Pilsen Wolves B";"HC Klatovy ";14:1
Ne;16.11.2025;11:30;RA;RLSD;P3096;"HC Rakovník ";"HC Klatovy ";3:2
Ne;16.11.2025;12:25;KT;"LMŽ B";K5060;"HC Klatovy ";"HC Baník Sokolov ";11:5
Ne;16.11.2025;12:35;PK;"LMŽ B";K5063;"HC Pilsen Wolves B";"HC Klatovy B";8:2
So;22.11.2025;12:00;TM;"S3T PLK";PM3022;"HC Meteor Tøemošná ";"HC Klatovy ";0:0
So;22.11.2025;13:00;TM;"S3T PLK";PM3023;"HC Klatovy ";"HC Domažlice ";0:0
So;22.11.2025;13:30;DO;"S2T PLK";PM2029;"HC Meteor Tøemošná B";"HC Klatovy ";0:0
